,,,,,Registration,Votes,
93420119,Lydia Hawk,U S Senate,,G,Aaron Dixon,4,
33420120,Hays,U S Senate,,G,Aaron Dixon,0,
33420121,Indian Summer,U S Senate,,G,Aaron Dixon,2,
33420122,Chambers,U S Senate,,G,Aaron Dixon,12,
33422123,Freedom,U S Senate,,G,Aaron Dixon,4,
93402124,Fristoe,U S Senate,,G,Aaron Dixon,3,
93402125,Deschutes,U S Senate,,G,Aaron Dixon,4,
93402126,Longmire,U S Senate,,G,Aaron Dixon,5,
33402127,Ruth Prairie,U S Senate,,G,Aaron Dixon,4,
93402128,Weir Prairie,U S Senate,,G,Aaron Dixon,6,
33422129,College,U S Senate,,G,Aaron Dixon,36,
33402130,Bald Hills,U S Senate,,G,Aaron Dixon,6,
33435131,Hunter Point,U S Senate,,G,Aaron Dixon,1,
33435132,Griffin,U S Senate,,G,Aaron Dixon,12,
33435133,Schneiders Prairie,U S Senate,,G,Aaron Dixon,5,
33422134,Cooper Point,U S Senate,,G,Aaron Dixon,2,
33422135,Butler Cove,U S Senate,,G,Aaron Dixon,10,
33422136,Broadway,U S Senate,,G,Aaron Dixon,24,
33402138,Lawrence Lake S,U S Senate,,G,Aaron Dixon,5,
33422139,Plainview,U S Senate,,G,Aaron Dixon,35,
33435140,Mud Bay,U S Senate,,G,Aaron Dixon,6,
33435141,McLane,U S Senate,,G,Aaron Dixon,1,
33422143,Bush,U S Senate,,G,Aaron Dixon,1,
33435144,Black Lake,U S Senate,,G,Aaron Dixon,4,
33420145,Delphi,U S Senate,,G,Aaron Dixon,7,
33420146,S Union,U S Senate,,G,Aaron Dixon,9,
33420147,Plumb,U S Senate,,G,Aaron Dixon,8,
33420148,Scatter Creek,U S Senate,,G,Aaron Dixon,4,
33420149,McIntosh,U S Senate,,G,Aaron Dixon,3,
33420150,Violet Prairie,U S Senate,,G,Aaron Dixon,3,
33420151,Littlerock,U S Senate,,G,Aaron Dixon,9,
33420152,Gate,U S Senate,,G,Aaron Dixon,3,
33420153,Rochester 1,U S Senate,,G,Aaron Dixon,2,
33420154,Rochester 2,U S Senate,,G,Aaron Dixon,1,
33420155,Scott Lake N,U S Senate,,G,Aaron Dixon,8,
33420156,Grand Mound,U S Senate,,G,Aaron Dixon,3,
33420157,Gibson Valley,U S Senate,,G,Aaron Dixon,0,
33420158,Skookumchuck,U S Senate,,G,Aaron Dixon,5,
93422159,Meridian,U S Senate,,G,Aaron Dixon,4,
93422160,Johnson Point,U S Senate,,G,Aaron Dixon,2,
33422161,Wards,U S Senate,,G,Aaron Dixon,1,
93422162,Thompson,U S Senate,,G,Aaron Dixon,1,
33422163,Smith Lake,U S Senate,,G,Aaron Dixon,6,
33435164,Evergreen Shores,U S Senate,,G,Aaron Dixon,5,
33420165,Sunwood Lakes,U S Senate,,G,Aaron Dixon,2,
33420166,Eaton Creek,U S Senate,,G,Aaron Dixon,1,
93420167,Hawks Ridge,U S Senate,,G,Aaron Dixon,3,
93422168,Holmes,U S Senate,,G,Aaron Dixon,2,
93402169,McAllister Creek,U S Senate,,G,Aaron Dixon,3,
33420170,Rochester 3,U S Senate,,G,Aaron Dixon,1,
33420171,Waddell Creek,U S Senate,,G,Aaron Dixon,5,
33422172,Tykle Cove,U S Senate,,G,Aaron Dixon,8,
33435173,Camelot,U S Senate,,G,Aaron Dixon,6,
33422174,French,U S Senate,,G,Aaron Dixon,20,
33422175,Sunset Beach,U S Senate,,G,Aaron Dixon,19,
93422176,Henderson,U S Senate,,G,Aaron Dixon,13,
33422177,Israel,U S Senate,,G,Aaron Dixon,0,
93422178,Pattison,U S Senate,,G,Aaron Dixon,5,
93402179,Four Corners,U S Senate,,G,Aaron Dixon,13,
33420180,Stedman,U S Senate,,G,Aaron Dixon,4,
33422181,Glenwood,U S Senate,,G,Aaron Dixon,0,
33420182,Munn Lake,U S Senate,,G,Aaron Dixon,7,
93422183,Beach Crest,U S Senate,,G,Aaron Dixon,6,
33420184,Scheller,U S Senate,,G,Aaron Dixon,2,
93420185,Fair Oaks,U S Senate,,G,Aaron Dixon,1,
33422186,Wilderness,U S Senate,,G,Aaron Dixon,4,
93420187,Mullen,U S Senate,,G,Aaron Dixon,3,
93422189,Sleater Kinney,U S Senate,,G,Aaron Dixon,3,
33435190,Lakeside,U S Senate,,G,Aaron Dixon,5,
33435191,Gallagher Cove,U S Senate,,G,Aaron Dixon,6,
33420192,East Olympia,U S Senate,,G,Aaron Dixon,0,
93402193,Berry Valley,U S Senate,,G,Aaron Dixon,1,
93420194,Hartwood,U S Senate,,G,Aaron Dixon,4,
93422195,Libby,U S Senate,,G,Aaron Dixon,9,
93420196,Meadows,U S Senate,,G,Aaron Dixon,2,
93420197,Summerset,U S Senate,,G,Aaron Dixon,7,
33420198,Henness,U S Senate,,G,Aaron Dixon,5,
33420199,Beaver Creek,U S Senate,,G,Aaron Dixon,4,
33422201,Olympia 1,U S Senate,,G,Aaron Dixon,17,
33422202,Olympia 2,U S Senate,,G,Aaron Dixon,6,
33422203,Olympia 3,U S Senate,,G,Aaron Dixon,26,
33422204,Olympia 4,U S Senate,,G,Aaron Dixon,41,
33422205,Olmypia 5,U S Senate,,G,Aaron Dixon,26,
33422206,Olympia 6,U S Senate,,G,Aaron Dixon,13,
33422207,Olympia 7,U S Senate,,G,Aaron Dixon,17,
33422208,Olympia 8,U S Senate,,G,Aaron Dixon,10,
33422209,Olympia 9,U S Senate,,G,Aaron Dixon,10,
33422210,Olympia 10,U S Senate,,G,Aaron Dixon,21,
33422211,Olympia 11,U S Senate,,G,Aaron Dixon,21,
33422212,Olympia 12,U S Senate,,G,Aaron Dixon,9,
33422213,Olympia 13,U S Senate,,G,Aaron Dixon,31,
33422214,Olympia 14,U S Senate,,G,Aaron Dixon,14,
33422215,Olympia 15,U S Senate,,G,Aaron Dixon,31,
33422216,Olympia 16,U S Senate,,G,Aaron Dixon,0,
93422217,Olympia 17,U S Senate,,G,Aaron Dixon,7,
33422218,Olympia 18,U S Senate,,G,Aaron Dixon,51,
33422219,Olympia 19,U S Senate,,G,Aaron Dixon,7,
33422220,Olympia 20,U S Senate,,G,Aaron Dixon,33,
93422221,Olympia 21,U S Senate,,G,Aaron Dixon,26,
93422223,Olympia 23,U S Senate,,G,Aaron Dixon,37,
33422224,Olympia 24,U S Senate,,G,Aaron Dixon,4,
33422225,Olympia 25,U S Senate,,G,Aaron Dixon,6,
33422226,Olympia 26,U S Senate,,G,Aaron Dixon,43,
33422227,Olympia 27,U S Senate,,G,Aaron Dixon,1,
33422228,Olympia 28,U S Senate,,G,Aaron Dixon,43,
33422229,Olympia 29,U S Senate,,G,Aaron Dixon,8,
33422230,Olympia 30,U S Senate,,G,Aaron Dixon,18,
33422231,Olympia 31,U S Senate,,G,Aaron Dixon,3,
33422232,Olympia 32,U S Senate,,G,Aaron Dixon,3,
33422235,Olympia 35,U S Senate,,G,Aaron Dixon,2,
33422236,Olympia 36,U S Senate,,G,Aaron Dixon,11,
33422237,Olympia 37,U S Senate,,G,Aaron Dixon,4,
33422238,Olympia 38,U S Senate,,G,Aaron Dixon,6,
33422239,Olympia 39,U S Senate,,G,Aaron Dixon,5,
33422240,Olympia 40,U S Senate,,G,Aaron Dixon,7,
33422241,Olympia 41,U S Senate,,G,Aaron Dixon,16,
33422242,Olympia 42,U S Senate,,G,Aaron Dixon,13,
33422243,Olympia 43,U S Senate,,G,Aaron Dixon,20,
33422244,Olympia 44,U S Senate,,G,Aaron Dixon,24,
93422245,Olympia 45,U S Senate,,G,Aaron Dixon,2,
93422246,Olympia 46,U S Senate,,G,Aaron Dixon,34,
33422247,Olympia 47,U S Senate,,G,Aaron Dixon,7,
33422248,Olympia 48,U S Senate,,G,Aaron Dixon,8,
33422249,Olympia 49,U S Senate,,G,Aaron Dixon,37,
33422250,Olympia 50,U S Senate,,G,Aaron Dixon,33,
33422251,Olympia 51,U S Senate,,G,Aaron Dixon,2,
33422252,Olympia 52,U S Senate,,G,Aaron Dixon,17,
93422253,Olympia 53,U S Senate,,G,Aaron Dixon,9,
33422254,Olympia 54,U S Senate,,G,Aaron Dixon,32,
93422301,Lacey 1,U S Senate,,G,Aaron Dixon,4,
93422302,Lacey 2,U S Senate,,G,Aaron Dixon,3,
93422303,Lacey 3,U S Senate,,G,Aaron Dixon,3,
93422304,Lacey 4,U S Senate,,G,Aaron Dixon,1,
93422305,Lacey 5,U S Senate,,G,Aaron Dixon,2,
93422306,Lacey 6,U S Senate,,G,Aaron Dixon,0,
93422307,Lacey 7,U S Senate,,G,Aaron Dixon,6,
93422308,Lacey 8,U S Senate,,G,Aaron Dixon,9,
93422309,Lacey 9,U S Senate,,G,Aaron Dixon,6,
93422310,Lacey 10,U S Senate,,G,Aaron Dixon,0,
93422311,Lacey 11,U S Senate,,G,Aaron Dixon,1,
33422312,Lacey 12,U S Senate,,G,Aaron Dixon,0,
93422313,Lacey 13,U S Senate,,G,Aaron Dixon,2,
93422314,Lacey 14,U S Senate,,G,Aaron Dixon,2,
93422315,Lacey 15,U S Senate,,G,Aaron Dixon,5,
93422316,Lacey 16,U S Senate,,G,Aaron Dixon,0,
93422317,Lacey 17,U S Senate,,G,Aaron Dixon,3,
93422318,Lacey 18,U S Senate,,G,Aaron Dixon,4,
93422319,Lacey 19,U S Senate,,G,Aaron Dixon,7,
93422320,Lacey 20,U S Senate,,G,Aaron Dixon,3,
93422321,Lacey 21,U S Senate,,G,Aaron Dixon,4,
33422322,Lacey 22,U S Senate,,G,Aaron Dixon,9,
93422323,Lacey 23,U S Senate,,G,Aaron Dixon,1,
93422324,Lacey 24,U S Senate,,G,Aaron Dixon,8,
93422327,Lacey 27,U S Senate,,G,Aaron Dixon,3,
93422328,Lacey 28,U S Senate,,G,Aaron Dixon,2,
93422329,Lacey 29,U S Senate,,G,Aaron Dixon,10,
93422330,Lacey 30,U S Senate,,G,Aaron Dixon,4,
93422331,Lacey 31,U S Senate,,G,Aaron Dixon,6,
93422332,Lacey 32,U S Senate,,G,Aaron Dixon,3,
93422333,Lacey 33,U S Senate,,G,Aaron Dixon,0,
93422334,Lacey 34,U S Senate,,G,Aaron Dixon,2,
93422335,Lacey 35,U S Senate,,G,Aaron Dixon,5,
93422336,Lacey 36,U S Senate,,G,Aaron Dixon,0,
93422337,Lacey 37,U S Senate,,G,Aaron Dixon,2,
33422401,Tumwater 1,U S Senate,,G,Aaron Dixon,7,
33422402,Tumwater 2,U S Senate,,G,Aaron Dixon,8,
33422403,Tumwater 3,U S Senate,,G,Aaron Dixon,12,
33422404,Tumwater 4,U S Senate,,G,Aaron Dixon,8,
33422405,Tumwater 5,U S Senate,,G,Aaron Dixon,2,
33422406,Tumwater 6,U S Senate,,G,Aaron Dixon,11,
33422407,Tumwater 7,U S Senate,,G,Aaron Dixon,4,
33422408,Tumwater 8,U S Senate,,G,Aaron Dixon,8,
33422409,Tumwater 9,U S Senate,,G,Aaron Dixon,1,
33422410,Tumwater 10,U S Senate,,G,Aaron Dixon,1,
33422411,Tumwater 11,U S Senate,,G,Aaron Dixon,2,
33422412,Tumwater 12,U S Senate,,G,Aaron Dixon,9,
33422413,Tumwater 13,U S Senate,,G,Aaron Dixon,1,
33422414,Tumwater 14,U S Senate,,G,Aaron Dixon,2,
33422415,Tumwater 15,U S Senate,,G,Aaron Dixon,3,
33420418,Tumwater 18,U S Senate,,G,Aaron Dixon,0,
33422421,Tumwater 21,U S Senate,,G,Aaron Dixon,0,
33420423,Tumwater 23,U S Senate,,G,Aaron Dixon,0,
33435425,Tumwater 25,U S Senate,,G,Aaron Dixon,0,
33420501,Tenino 1,U S Senate,,G,Aaron Dixon,3,
33420502,Tenino 2,U S Senate,,G,Aaron Dixon,1,
93402601,Rainier 1,U S Senate,,G,Aaron Dixon,2,
93402602,Rainier 2,U S Senate,,G,Aaron Dixon,1,
93402701,Yelm 1,U S Senate,,G,Aaron Dixon,4,
93402702,Yelm 2,U S Senate,,G,Aaron Dixon,1,
33420801,Bucoda,U S Senate,,G,Aaron Dixon,3,
93499999,Suppressed voters,U S Senate,,G,Aaron Dixon,0,
THURSTON WA,THURSTON WA,U S Senate,,G,Aaron Dixon,1792,
93422039,Jones Beach,U S Senate,,,write-in,0,
93420043,University N,U S Senate,,,write-in,0,
33435044,Steamboat Island,U S Senate,,,write-in,0,
33420045,Rocky Prairie,U S Senate,,,write-in,0,
33402046,Lawrence Lake N,U S Senate,,,write-in,2,
93422047,Woodard Creek,U S Senate,,,write-in,0,
33420048,Michigan Hill,U S Senate,,,write-in,0,
33420049,Scott Lake S,U S Senate,,,write-in,0,
33420050,Salmon Creek,U S Senate,,,write-in,0,
33420051,Spurgeon Creek,U S Senate,,,write-in,0,
33420052,James,U S Senate,,,write-in,0,
33420053,Vail,U S Senate,,,write-in,0,
33420054,Rochester 5,U S Senate,,,write-in,0,
33420055,Rochester 4,U S Senate,,,write-in,1,
93402057,Medicine Creek,U S Senate,,,write-in,2,
93422058,Skokomish,U S Senate,,,write-in,0,
93402059,Pleasant Hill,U S Senate,,,write-in,0,
33402060,Smith Prairie,U S Senate,,,write-in,2,
33435061,Belmore,U S Senate,,,write-in,2,
33420062,Black River,U S Senate,,,write-in,1,
93422063,Ames,U S Senate,,,write-in,0,
33422064,Airport,U S Senate,,,write-in,0,
93422065,Luhr Beach,U S Senate,,,write-in,0,
93422066,Fish Trap,U S Senate,,,write-in,0,
33422069,Simmons 3,U S Senate,,,write-in,0,
33422070,Simmons 4,U S Senate,,,write-in,0,
93402074,Pines,U S Senate,,,write-in,0,
93422075,Long Lake,U S Senate,,,write-in,0,
93422076,Hawk Acres,U S Senate,,,write-in,0,
33420077,Zenker Valley,U S Senate,,,write-in,0,
93420078,Tri Lakes,U S Senate,,,write-in,0,
93420079,University S,U S Senate,,,write-in,0,
93422080,Tolmie,U S Senate,,,write-in,0,
93420081,Military,U S Senate,,,write-in,0,
93422082,Glen Terra,U S Senate,,,write-in,0,
33420083,Prine,U S Senate,,,write-in,0,
33422084,Trosper Lake,U S Senate,,,write-in,0,
33435086,Greenridge,U S Senate,,,write-in,0,
93422088,Woodland,U S Senate,,,write-in,1,
33420089,Tilley,U S Senate,,,write-in,0,
33422090,Sweet Briar,U S Senate,,,write-in,2,
93402091,Deerbrush,U S Senate,,,write-in,0,
93420092,Mushroom Corner,U S Senate,,,write-in,1,
93420093,Traiblazer,U S Senate,,,write-in,0,
33435094,Frye Cove,U S Senate,,,write-in,0,
33435095,Oyster Bay,U S Senate,,,write-in,1,
33435096,Summit Lake,U S Senate,,,write-in,1,
33420097,Delridge,U S Senate,,,write-in,0,
93420098,Marvin,U S Senate,,,write-in,0,
33435099,Alpine,U S Senate,,,write-in,0,
33420100,Hewitt Lake,U S Senate,,,write-in,0,
93422101,Zangle,U S Senate,,,write-in,0,
93422102,Boston Harbor,U S Senate,,,write-in,1,
93422103,Gull Harbor,U S Senate,,,write-in,0,
93422104,Friendly Harbor,U S Senate,,,write-in,0,
93422105,South Bay,U S Senate,,,write-in,1,
93422106,Puget,U S Senate,,,write-in,0,
93422107,Bigelow,U S Senate,,,write-in,0,
33422108,Kirsop,U S Senate,,,write-in,0,
93422109,Pleasant Glade,U S Senate,,,write-in,1,
93422110,Montgomery,U S Senate,,,write-in,0,
93402111,Nisqually,U S Senate,,,write-in,0,
93422112,Roosevelt,U S Senate,,,write-in,0,
93422113,Kinwood,U S Senate,,,write-in,1,
33422114,McKinley,U S Senate,,,write-in,0,
93420115,Forest,U S Senate,,,write-in,0,
93420116,St Clair,U S Senate,,,write-in,0,
93422117,Hicks,U S Senate,,,write-in,0,
93420118,Fleetwood,U S Senate,,,write-in,0,
93420119,Lydia Hawk,U S Senate,,,write-in,0,
33420120,Hays,U S Senate,,,write-in,1,
33420121,Indian Summer,U S Senate,,,write-in,0,
33420122,Chambers,U S Senate,,,write-in,3,
33422123,Freedom,U S Senate,,,write-in,0,
93402124,Fristoe,U S Senate,,,write-in,2,
93402125,Deschutes,U S Senate,,,write-in,0,
93402126,Longmire,U S Senate,,,write-in,0,
33402127,Ruth Prairie,U S Senate,,,write-in,0,
93402128,Weir Prairie,U S Senate,,,write-in,1,
33422129,College,U S Senate,,,write-in,0,
33402130,Bald Hills,U S Senate,,,write-in,0,
33435131,Hunter Point,U S Senate,,,write-in,0,
33435132,Griffin,U S Senate,,,write-in,2,
33435133,Schneiders Prairie,U S Senate,,,write-in,1,
33422134,Cooper Point,U S Senate,,,write-in,0,
33422135,Butler Cove,U S Senate,,,write-in,0,
33422136,Broadway,U S Senate,,,write-in,1,
33402138,Lawrence Lake S,U S Senate,,,write-in,0,
33422139,Plainview,U S Senate,,,write-in,1,
33435140,Mud Bay,U S Senate,,,write-in,0,
33435141,McLane,U S Senate,,,write-in,0,
33422143,Bush,U S Senate,,,write-in,0,
33435144,Black Lake,U S Senate,,,write-in,0,
33420145,Delphi,U S Senate,,,write-in,1,
33420146,S Union,U S Senate,,,write-in,1,
33420147,Plumb,U S Senate,,,write-in,0,
33420148,Scatter Creek,U S Senate,,,write-in,0,
33420149,McIntosh,U S Senate,,,write-in,1,
33420150,Violet Prairie,U S Senate,,,write-in,0,
33420151,Littlerock,U S Senate,,,write-in,0,
33420152,Gate,U S Senate,,,write-in,0,
33420153,Rochester 1,U S Senate,,,write-in,0,
33420154,Rochester 2,U S Senate,,,write-in,0,
33420155,Scott Lake N,U S Senate,,,write-in,0,
33420156,Grand Mound,U S Senate,,,write-in,0,
33420157,Gibson Valley,U S Senate,,,write-in,0,
33420158,Skookumchuck,U S Senate,,,write-in,0,
93422159,Meridian,U S Senate,,,write-in,0,
93422160,Johnson Point,U S Senate,,,write-in,0,
33422161,Wards,U S Senate,,,write-in,1,
93422162,Thompson,U S Senate,,,write-in,0,
33422163,Smith Lake,U S Senate,,,write-in,1,
33435164,Evergreen Shores,U S Senate,,,write-in,0,
33420165,Sunwood Lakes,U S Senate,,,write-in,1,
33420166,Eaton Creek,U S Senate,,,write-in,1,
93420167,Hawks Ridge,U S Senate,,,write-in,0,
93422168,Holmes,U S Senate,,,write-in,0,
93402169,McAllister Creek,U S Senate,,,write-in,1,
33420170,Rochester 3,U S Senate,,,write-in,0,
33420171,Waddell Creek,U S Senate,,,write-in,1,
33422172,Tykle Cove,U S Senate,,,write-in,0,
33435173,Camelot,U S Senate,,,write-in,0,
33422174,French,U S Senate,,,write-in,0,
33422175,Sunset Beach,U S Senate,,,write-in,0,
93422176,Henderson,U S Senate,,,write-in,1,
33422177,Israel,U S Senate,,,write-in,0,
93422178,Pattison,U S Senate,,,write-in,1,
93402179,Four Corners,U S Senate,,,write-in,0,
33420180,Stedman,U S Senate,,,write-in,1,
33422181,Glenwood,U S Senate,,,write-in,0,
33420182,Munn Lake,U S Senate,,,write-in,0,
93422183,Beach Crest,U S Senate,,,write-in,1,
33420184,Scheller,U S Senate,,,write-in,0,
93420185,Fair Oaks,U S Senate,,,write-in,0,
33422186,Wilderness,U S Senate,,,write-in,2,
93420187,Mullen,U S Senate,,,write-in,3,
93422189,Sleater Kinney,U S Senate,,,write-in,0,
33435190,Lakeside,U S Senate,,,write-in,1,
33435191,Gallagher Cove,U S Senate,,,write-in,1,
33420192,East Olympia,U S Senate,,,write-in,0,
93402193,Berry Valley,U S Senate,,,write-in,0,
93420194,Hartwood,U S Senate,,,write-in,0,
93422195,Libby,U S Senate,,,write-in,1,
93420196,Meadows,U S Senate,,,write-in,1,
93420197,Summerset,U S Senate,,,write-in,0,
33420198,Henness,U S Senate,,,write-in,0,
33420199,Beaver Creek,U S Senate,,,write-in,0,
33422201,Olympia 1,U S Senate,,,write-in,0,
33422202,Olympia 2,U S Senate,,,write-in,0,
33422203,Olympia 3,U S Senate,,,write-in,0,
33422204,Olympia 4,U S Senate,,,write-in,1,
33422205,Olmypia 5,U S Senate,,,write-in,1,
33422206,Olympia 6,U S Senate,,,write-in,0,
33422207,Olympia 7,U S Senate,,,write-in,1,
33422208,Olympia 8,U S Senate,,,write-in,0,
33422209,Olympia 9,U S Senate,,,write-in,1,
33422210,Olympia 10,U S Senate,,,write-in,0,
33422211,Olympia 11,U S Senate,,,write-in,1,
33422212,Olympia 12,U S Senate,,,write-in,3,
33422213,Olympia 13,U S Senate,,,write-in,2,
33422214,Olympia 14,U S Senate,,,write-in,0,
33422215,Olympia 15,U S Senate,,,write-in,0,
33422216,Olympia 16,U S Senate,,,write-in,0,
93422217,Olympia 17,U S Senate,,,write-in,0,
33422218,Olympia 18,U S Senate,,,write-in,0,
33422219,Olympia 19,U S Senate,,,write-in,1,
33422220,Olympia 20,U S Senate,,,write-in,0,
93422221,Olympia 21,U S Senate,,,write-in,1,
93422223,Olympia 23,U S Senate,,,write-in,0,
33422224,Olympia 24,U S Senate,,,write-in,0,
33422225,Olympia 25,U S Senate,,,write-in,0,
33422226,Olympia 26,U S Senate,,,write-in,2,
33422227,Olympia 27,U S Senate,,,write-in,0,
33422228,Olympia 28,U S Senate,,,write-in,0,
33422229,Olympia 29,U S Senate,,,write-in,0,
33422230,Olympia 30,U S Senate,,,write-in,0,
33422231,Olympia 31,U S Senate,,,write-in,0,
33422232,Olympia 32,U S Senate,,,write-in,0,
33422235,Olympia 35,U S Senate,,,write-in,2,
33422236,Olympia 36,U S Senate,,,write-in,0,
33422237,Olympia 37,U S Senate,,,write-in,0,
33422238,Olympia 38,U S Senate,,,write-in,1,
33422239,Olympia 39,U S Senate,,,write-in,0,
33422240,Olympia 40,U S Senate,,,write-in,0,
33422241,Olympia 41,U S Senate,,,write-in,0,
33422242,Olympia 42,U S Senate,,,write-in,1,
33422243,Olympia 43,U S Senate,,,write-in,1,
33422244,Olympia 44,U S Senate,,,write-in,1,
93422245,Olympia 45,U S Senate,,,write-in,0,
93422246,Olympia 46,U S Senate,,,write-in,1,
33422247,Olympia 47,U S Senate,,,write-in,0,
33422248,Olympia 48,U S Senate,,,write-in,0,
33422249,Olympia 49,U S Senate,,,write-in,0,
33422250,Olympia 50,U S Senate,,,write-in,1,
33422251,Olympia 51,U S Senate,,,write-in,0,
33422252,Olympia 52,U S Senate,,,write-in,0,
93422253,Olympia 53,U S Senate,,,write-in,0,
33422254,Olympia 54,U S Senate,,,write-in,1,
93422301,Lacey 1,U S Senate,,,write-in,0,
93422302,Lacey 2,U S Senate,,,write-in,0,
93422303,Lacey 3,U S Senate,,,write-in,0,
93422304,Lacey 4,U S Senate,,,write-in,0,
93422305,Lacey 5,U S Senate,,,write-in,0,
93422306,Lacey 6,U S Senate,,,write-in,0,
93422307,Lacey 7,U S Senate,,,write-in,0,
93422308,Lacey 8,U S Senate,,,write-in,0,
93422309,Lacey 9,U S Senate,,,write-in,1,
93422310,Lacey 10,U S Senate,,,write-in,0,
93422311,Lacey 11,U S Senate,,,write-in,0,
33422312,Lacey 12,U S Senate,,,write-in,0,
93422313,Lacey 13,U S Senate,,,write-in,0,
93422314,Lacey 14,U S Senate,,,write-in,0,
93422315,Lacey 15,U S Senate,,,write-in,0,
93422316,Lacey 16,U S Senate,,,write-in,0,
93422317,Lacey 17,U S Senate,,,write-in,1,
93422318,Lacey 18,U S Senate,,,write-in,0,
93422319,Lacey 19,U S Senate,,,write-in,0,
93422320,Lacey 20,U S Senate,,,write-in,0,
93422321,Lacey 21,U S Senate,,,write-in,1,
33422322,Lacey 22,U S Senate,,,write-in,0,
93422323,Lacey 23,U S Senate,,,write-in,0,
93422324,Lacey 24,U S Senate,,,write-in,2,
93422327,Lacey 27,U S Senate,,,write-in,0,
93422328,Lacey 28,U S Senate,,,write-in,0,
93422329,Lacey 29,U S Senate,,,write-in,0,
93422330,Lacey 30,U S Senate,,,write-in,0,
93422331,Lacey 31,U S Senate,,,write-in,0,
93422332,Lacey 32,U S Senate,,,write-in,0,
93422333,Lacey 33,U S Senate,,,write-in,0,
93422334,Lacey 34,U S Senate,,,write-in,0,
93422335,Lacey 35,U S Senate,,,write-in,2,
93422336,Lacey 36,U S Senate,,,write-in,1,
93422337,Lacey 37,U S Senate,,,write-in,0,
33422401,Tumwater 1,U S Senate,,,write-in,0,
33422402,Tumwater 2,U S Senate,,,write-in,1,
33422403,Tumwater 3,U S Senate,,,write-in,0,
33422404,Tumwater 4,U S Senate,,,write-in,0,
33422405,Tumwater 5,U S Senate,,,write-in,1,
33422406,Tumwater 6,U S Senate,,,write-in,0,
33422407,Tumwater 7,U S Senate,,,write-in,1,
33422408,Tumwater 8,U S Senate,,,write-in,1,
33422409,Tumwater 9,U S Senate,,,write-in,0,
33422410,Tumwater 10,U S Senate,,,write-in,0,
33422411,Tumwater 11,U S Senate,,,write-in,0,
33422412,Tumwater 12,U S Senate,,,write-in,0,
33422413,Tumwater 13,U S Senate,,,write-in,0,
33422414,Tumwater 14,U S Senate,,,write-in,0,
33422415,Tumwater 15,U S Senate,,,write-in,1,
33420418,Tumwater 18,U S Senate,,,write-in,0,
33422421,Tumwater 21,U S Senate,,,write-in,0,
33420423,Tumwater 23,U S Senate,,,write-in,0,
33435425,Tumwater 25,U S Senate,,,write-in,0,
33420501,Tenino 1,U S Senate,,,write-in,0,
33420502,Tenino 2,U S Senate,,,write-in,1,
93402601,Rainier 1,U S Senate,,,write-in,0,
93402602,Rainier 2,U S Senate,,,write-in,0,
93402701,Yelm 1,U S Senate,,,write-in,0,
93402702,Yelm 2,U S Senate,,,write-in,0,
33420801,Bucoda,U S Senate,,,write-in,0,
93499999,Suppressed voters,U S Senate,,,write-in,0,
THURSTON WA,THURSTON WA,U S Senate,,,write-in,91,
33402046,Lawrence Lake N,Congress 3,3,D,Brian Baird,177,
33402060,Smith Prairie,Congress 3,3,D,Brian Baird,234,
33402127,Ruth Prairie,Congress 3,3,D,Brian Baird,170,
33402130,Bald Hills,Congress 3,3,D,Brian Baird,459,
33420045,Rocky Prairie,Congress 3,3,D,Brian Baird,151,
33420048,Michigan Hill,Congress 3,3,D,Brian Baird,152,
33420049,Scott Lake S,Congress 3,3,D,Brian Baird,209,
33420050,Salmon Creek,Congress 3,3,D,Brian Baird,143,
33420051,Spurgeon Creek,Congress 3,3,D,Brian Baird,246,
33420052,James,Congress 3,3,D,Brian Baird,195,
33420053,Vail,Congress 3,3,D,Brian Baird,225,
33420054,Rochester 5,Congress 3,3,D,Brian Baird,235,
33420055,Rochester 4,Congress 3,3,D,Brian Baird,176,
33420062,Black River,Congress 3,3,D,Brian Baird,219,
33420077,Zenker Valley,Congress 3,3,D,Brian Baird,39,
33420083,Prine,Congress 3,3,D,Brian Baird,43,
33420089,Tilley,Congress 3,3,D,Brian Baird,291,
33420097,Delridge,Congress 3,3,D,Brian Baird,49,
33420100,Hewitt Lake,Congress 3,3,D,Brian Baird,363,
